wd_name,cluster,ra,dec,coord_source,gaiadr3,gaia_supported,logg,logg_err_plus,logg_err_minus,teff,teff_err_plus,teff_err_minus,spectrum_fit_source,mass,mass_err_plus,mass_err_minus,tcool,tcool_err_plus,tcool_err_minus,rad,rad_err_plus,rad_err_minus,prog_mass,prog_mass_err_plus,prog_mass_err_minus,ifmr_source,simbad_name,miller2026a_name,miller2026a_literature_name
ABDor-WD-J034850-005834,AB Dor,57.209484,-0.97636,gaiadr3,3251244858154433536,y,9.2,0.07,0.07,42700,800,800,2011ApJ...743..138G,1.249,0.019,0.019,71.0,18.0,17.0,3300,200,200,6.5,1.2,0.8,2026ApJ...996...69M,Gaia DR3 3251244858154433536,,GD 50
AlphaPer-WD-J025843+502052,Alpha Per,44.680456,50.347782,gaiadr3,439597809786357248,y,9.05,0.03,0.03,41600,200,200,2022ApJ...926L..24M,1.201,0.012,0.012,45.0,6.0,5.0,3780,110,110,8.3,0.9,0.8,2026ApJ...996...69M,Gaia DR3  439597809786357248,,Alpha Per WD1
AlphaPer-WD-J035658+450111,Alpha Per,59.241703,45.019763,gaiadr3,244003693457188608,y,8.98,0.04,0.04,46200,300,300,2022ApJ...926L..24M,1.175,0.016,0.016,13.0,5.0,4.0,4050,150,150,6.2,0.3,0.3,2026ApJ...996...69M,Gaia DR3  244003693457188608,,Alpha Per WD2
AlphaPer-WD-J222814+453434,Alpha Per,337.06159,45.576203,gaiadr3,1983126553936914816,y,8.84,0.05,0.05,47500,500,500,2022ApJ...926L..24M,1.11,0.02,0.02,2.5,1.2,0.2,4600,200,200,5.83,0.21,0.18,2026ApJ...996...69M,Gaia DR3 1983126553936914816,,Alpha Per WD5
ASCC113-WD-J210046+363339,ASCC 113,315.193205,36.560859,gaiadr3,1871306874227157376,y,8.71,0.07,0.07,25400,300,300,2021ApJ...912..165R,1.06,0.02,0.04,148.0,19.0,19.0,5200,300,300,4.7,0.3,0.4,2026ApJ...996...69M,Gaia DR3 1871306874227157376,,ASCC 113
ASCC47-WD-J083224-393543,ASCC 47,128.101248,-39.595373,gaiadr3,5529347562661865088,y,8.47,0.05,0.05,114000,3000,3000,2020ApJ...901L..14C,1.01,0.02,0.02,0.069,0.015,0.012,6700,300,300,5.5,0.5,0.4,2026ApJ...996...69M,Gaia DR3 5529347562661865088,,ASCC 47
BH99-WD-J103845-585024,BH 99,159.69086,-58.840215,gaiadr3,5350664076917572352,y,8.61,0.07,0.07,52900,1100,1100,2026ApJ...996...69M,1.03,0.03,0.04,1.46,0.15,0.12,5800,400,400,5.9,0.9,0.3,2026ApJ...996...69M,Gaia DR3 5350664076917572352,BH 99,
HSC601-WD-J202039+371324,HSC 601,305.163037,37.2236,gaiadr3,2060960191793682176,y,8.41,0.04,0.04,32900,200,200,2026ApJ...996...69M,0.89,0.02,0.02,16.0,4.0,3.0,6800,200,200,5.1,0.4,0.6,2026ApJ...996...69M,Gaia DR3 2060960191793682176,HSC 601,
Hyades-WD-J023836+764218,Hyades,39.651744,76.70521,gaiadr3,560883558756079616,y,9.55,0.11,0.11,26400,200,200,2023ApJ...956L..41M,1.317,0.015,0.018,563.0,7.0,20.0,2200,300,300,5.7,2.1,1.4,2026ApJ...996...69M,Gaia DR3  560883558756079616,,Hyades WD1
Hyades-WD-J035200+340726,Hyades,58.00055,34.124162,gaiadr3,218783542413339648,y,8.31,0.05,0.05,14820,350,350,2018ApJ...866...21C,0.8,0.03,0.03,350.0,40.0,20.0,7200,300,300,3.5,0.4,0.3,2026ApJ...996...69M,Gaia DR3  218783542413339648,Hyades WD4,Hyades WD0348+339
Hyades-WD-J035522+094718,Hyades,58.842399,9.788346,gaiadr3,3302846072717868416,y,8.3,0.05,0.05,14670,380,380,2018ApJ...866...21C,0.8,0.03,0.03,360.0,40.0,30.0,7300,300,300,3.6,0.4,0.3,2026ApJ...996...69M,Gaia DR3 3302846072717868416,Hyades WD3,Hyades WD0352+096
Hyades-WD-J040342+145928,Hyades,60.926023,14.991219,gaiadr3,39305036729495936,y,8.25,0.01,0.01,14620,60,60,2018ApJ...866...21C,0.765,0.006,0.006,339.0,6.0,9.0,7560,60,60,3.5,0.3,0.3,2026ApJ...996...69M,Gaia DR3   39305036729495936,Hyades WD2,Hyades HS0400+1451
Hyades-WD-J040929+170754,Hyades,62.37095,17.131677,gaiadr3,45980377978968064,y,8.38,0.05,0.05,15810,290,290,2018ApJ...866...21C,0.85,0.03,0.03,330.0,30.0,20.0,6900,300,300,3.4,0.3,0.3,2026ApJ...996...69M,Gaia DR3   45980377978968064,,Hyades WD0406+169
Hyades-WD-J042355+162114,Hyades,65.982603,16.354077,gaiadr3,3313606340183243136,y,8.13,0.05,0.05,20010,320,320,2018ApJ...866...21C,0.7,0.03,0.03,93.0,16.0,7.0,8300,300,300,2.84,0.14,0.14,2026ApJ...996...69M,Gaia DR3 3313606340183243136,,Hyades WD0421+162
Hyades-WD-J042839+165811,Hyades,67.164686,16.969906,gaiadr3,3313714023603261568,y,8.12,0.05,0.05,25130,380,380,2018ApJ...866...21C,0.7,0.03,0.03,28.0,7.0,2.0,8400,300,300,2.73,0.12,0.12,2026ApJ...996...69M,Gaia DR3 3313714023603261568,,Hyades WD0425+168
Hyades-WD-J043345+124240,Hyades,68.437796,12.711146,gaiadr3,3306722607119077120,y,8.11,0.05,0.05,21890,350,350,2018ApJ...866...21C,0.7,0.03,0.03,60.0,10.0,8.0,8400,300,300,2.78,0.13,0.13,2026ApJ...996...69M,Gaia DR3 3306722607119077120,,Hyades WD0431+126
Hyades-WD-J044101+105939,Hyades,70.257663,10.994397,gaiadr3,3294248609046258048,y,8.15,0.05,0.05,27540,400,400,2018ApJ...866...21C,0.73,0.03,0.03,18.0,3.0,3.0,8300,300,300,2.72,0.12,0.11,2026ApJ...996...69M,Gaia DR3 3294248609046258048,,Hyades WD0438+108
Melotte111-WD-J121856+254557,Melotte 111,184.734022,25.76584,gaiadr3,4008511467191955840,y,8.46,0.013,0.013,16099,224,224,2020ApJ...898...84K,0.902,0.008,0.008,357.0,14.0,13.0,6440,70,70,3.6,0.22,0.09,2026ApJ...996...69M,Gaia DR3 4008511467191955840,Melotte 111,J1218+2545
NGC1039-WD-J024027+423056,NGC 1039,40.116293,42.515623,gaiadr3,337155723012394752,n,8.61,0.05,0.05,26050,350,350,2018ApJ...866...21C,1.01,0.03,0.03,111.0,13.0,12.0,5700,200,200,3.97,0.13,0.14,2026ApJ...996...69M,Gaia DR3  337155723012394752,,NGC 1039-WD17
NGC1039-WD-J024033+425816,NGC 1039,40.140527,42.971214,gaiadr3,340173367032619008,n,8.58,0.07,0.07,25900,500,500,2018ApJ...866...21C,0.99,0.04,0.04,106.0,18.0,17.0,5900,400,300,3.94,0.16,0.15,2026ApJ...996...69M,Gaia DR3  340173367032619008,,NGC 1039-WD15
NGC1039-WD-J024105+421558,NGC 1039,40.270948,42.266197,gaiadr3,337044088221827456,n,8.46,0.04,0.04,31600,400,400,2018ApJ...866...21C,0.92,0.02,0.02,28.0,6.0,5.0,6500,200,200,3.49,0.06,0.07,2026ApJ...996...69M,Gaia DR3  337044088221827456,,NGC 1039-WDS2
NGC2099-WD-J055213+322855,NGC 2099,88.0555,32.482194,simbad,,n,8.21,0.06,0.06,24900,600,600,2018ApJ...866...21C,0.75,0.04,0.04,41.0,10.0,7.0,7900,400,300,2.88,0.09,0.06,2026ApJ...996...69M,[CKT2015] NGC 2099 WD18,,NGC 2099-WD18
NGC2099-WD-J055216+323818,NGC 2099,88.067542,32.638472,simbad,,n,8.526,0.126,0.126,20250,850,850,2018ApJ...866...21C,0.95,0.08,0.08,210.0,60.0,40.0,6100,700,600,3.33,0.25,0.16,2026ApJ...996...69M,[CKT2015] NGC 2099 WD13,,NGC 2099-WD13
NGC2099-WD-J055217+322903,NGC 2099,88.073083,32.484278,simbad,,n,8.24,0.07,0.07,22200,650,650,2018ApJ...866...21C,0.77,0.04,0.04,82.0,16.0,14.0,7700,400,400,2.97,0.1,0.07,2026ApJ...996...69M,[CKT2015] NGC 2099 WD2,,NGC 2099-WD2
NGC2099-WD-J055218+322937,NGC 2099,88.076833,32.493778,simbad,,n,8.44,0.11,0.11,16700,750,750,2018ApJ...866...21C,0.89,0.07,0.07,310.0,60.0,50.0,6600,600,600,3.8,0.5,0.3,2026ApJ...996...69M,[CKT2015] NGC 2099 WD6,,NGC 2099-WD6
NGC2099-WD-J055218+323622,NGC 2099,88.077133,32.606263,gaiadr3,3451182182857026048,y,8.08,0.29,0.29,76000,4640,4640,2023A&A...678A..89W,0.77,0.15,0.12,0.57,0.13,0.13,9000,3000,2000,2.8,0.08,0.05,2026ApJ...996...69M,Gaia DR3 3451182182857026048,,0552+3236
NGC2099-WD-J055222+323629,NGC 2099,88.095375,32.608167,simbad,,n,8.334,0.144,0.144,17150,850,850,2018ApJ...866...21C,0.82,0.09,0.09,240.0,70.0,50.0,7100,800,800,3.5,0.3,0.2,2026ApJ...996...69M,[CKT2015] NGC 2099 WD16,,NGC 2099-WD16
NGC2099-WD-J055225+322935,NGC 2099,88.105583,32.493111,simbad,,n,8.29,0.11,0.11,18700,700,700,2018ApJ...866...21C,0.8,0.07,0.07,170.0,40.0,30.0,7400,600,600,3.2,0.17,0.12,2026ApJ...996...69M,[CKT2015] NGC 2099 WD24,,NGC 2099-WD24
NGC2099-WD-J055225+323054,NGC 2099,88.106083,32.515111,simbad,,n,8.21,0.01,0.01,18100,650,650,2018ApJ...866...21C,0.746,0.006,0.006,164.0,21.0,19.0,7810,60,60,3.18,0.15,0.09,2026ApJ...996...69M,[CKT2015] NGC 2099 WD5,,NGC 2099-WD5
NGC2099-WD-J055225+323603,NGC 2099,88.107583,32.601056,simbad,,n,8.16,0.084,0.084,19250,500,500,2018ApJ...866...21C,0.71,0.05,0.05,120.0,24.0,20.0,8100,500,500,3.06,0.12,0.08,2026ApJ...996...69M,[CKT2015] NGC 2099 WD10,,NGC 2099-WD10
NGC2099-WD-J055225+324003,NGC 2099,88.10475,32.667667,simbad,,n,7.95,0.14,0.14,16200,800,800,2018ApJ...866...21C,0.58,0.08,0.07,160.0,40.0,40.0,9300,900,900,3.17,0.16,0.13,2026ApJ...996...69M,[CKT2015] NGC 2099 WD9,,NGC 2099-WD9
NGC2099-WD-J055226+323004,NGC 2099,88.110083,32.501194,simbad,,n,8.37,0.11,0.11,16900,700,700,2018ApJ...866...21C,0.84,0.07,0.07,270.0,60.0,40.0,6900,600,600,3.6,0.3,0.2,2026ApJ...996...69M,[CKT2015] NGC 2099 WD21,,NGC 2099-WD21
NGC2099-WD-J055229+323706,NGC 2099,88.122042,32.618528,simbad,,n,8.571,0.154,0.154,18000,950,950,2018ApJ...866...21C,0.97,0.09,0.1,320.0,100.0,80.0,5900,800,700,3.9,0.7,0.4,2026ApJ...996...69M,[CKT2015] NGC 2099 WD17,,NGC 2099-WD17
NGC2099-WD-J055244+322522,NGC 2099,88.184875,32.422889,simbad,,n,8.2,0.06,0.06,22000,400,400,2018ApJ...866...21C,0.75,0.04,0.04,75.0,14.0,12.0,7900,400,300,2.95,0.1,0.07,2026ApJ...996...69M,[CKT2015] NGC 2099 WD28,,NGC 2099-WD28
NGC2099-WD-J055244+322954,NGC 2099,88.185167,32.498528,simbad,,n,8.11,0.06,0.06,27500,450,450,2018ApJ...866...21C,0.7,0.04,0.03,15.8,3.7,1.3,8500,400,400,2.83,0.08,0.05,2026ApJ...996...69M,[CKT2015] NGC 2099 WD25,,NGC 2099-WD25
NGC2168-WD-J060756+241326,NGC 2168,91.985929,24.22412,simbad,,n,8.39,0.08,0.08,29700,500,500,2018ApJ...866...21C,0.88,0.05,0.05,30.0,12.0,9.0,6900,400,400,4.1,0.2,0.3,2026ApJ...996...69M,LAWDS NGC 2168 30,,NGC 2168-LAWDS30
NGC2168-WD-J060802+242523,NGC 2168,92.009149,24.42331,gaiadr3,3426285249576179328,n,8.56,0.06,0.06,33500,450,450,2018ApJ...866...21C,0.98,0.04,0.04,31.0,9.0,8.0,6000,300,300,4.1,0.2,0.3,2026ApJ...996...69M,Gaia DR3 3426285249576179328,,NGC 2168-LAWDS29
NGC2168-WD-J060838+241506,NGC 2168,92.161633,24.251836,simbad,,n,8.44,0.06,0.06,33500,450,450,2018ApJ...866...21C,0.91,0.04,0.04,16.0,6.0,4.0,6600,300,300,4.01,0.18,0.24,2026ApJ...996...69M,LAWDS NGC 2168 1,,NGC 2168-LAWDS1
NGC2168-WD-J060842+241017,NGC 2168,92.176313,24.171558,simbad,,n,8.49,0.1,0.1,33400,600,600,2018ApJ...866...21C,0.94,0.06,0.06,22.0,14.0,9.0,6400,500,500,4.1,0.2,0.3,2026ApJ...996...69M,LAWDS NGC 2168 2,,NGC 2168-LAWDS2
NGC2168-WD-J060906+241925,NGC 2168,92.276067,24.323681,simbad,,n,8.72,0.06,0.06,30700,400,400,2018ApJ...866...21C,1.06,0.02,0.03,76.0,8.0,8.0,5200,300,300,4.7,0.3,0.4,2026ApJ...996...69M,LAWDS NGC 2168 27,,NGC 2168-LAWDS27
